scheme_key,scheme_label,side,component_label,size_bytes,count,source_note
cpq_intra_aka,CPQ-V2X (Intra-AKA),rsu,timestamp,4,1,RSU response contains t_j^(1)
cpq_inter_aka,CPQ-V2X (Inter-AKA),vehicle,domain_id,16,1,First vehicle request contains ID_a
cpq_inter_aka,CPQ-V2X (Inter-AKA),vehicle,TID_inter,64,1,First vehicle request contains inter-domain TID_i
cpq_inter_aka,CPQ-V2X (Inter-AKA),vehicle,ring_element_Rq,384,1,First vehicle request contains p_i
cpq_inter_aka,CPQ-V2X (Inter-AKA),vehicle,hash_digest,32,1,First vehicle request contains h_i
cpq_inter_aka,CPQ-V2X (Inter-AKA),vehicle,timestamp,4,2,Vehicle sends t_i^(1) and t_i^(2)
cpq_inter_aka,CPQ-V2X (Inter-AKA),vehicle,encrypted_public_credential_payload,1564,1,Final vehicle response contains C_i under the adopted communication accounting
cpq_inter_aka,CPQ-V2X (Inter-AKA),vehicle,proof_vector_tau,768,1,Final vehicle response contains tau_i
cpq_inter_aka,CPQ-V2X (Inter-AKA),rsu,ring_element_Rq,384,2,RSU response contains p_j and e_p
cpq_inter_aka,CPQ-V2X (Inter-AKA),rsu,reconciliation_hint,32,1,RSU response contains w_j
cpq_inter_aka,CPQ-V2X (Inter-AKA),rsu,proof_vector_tau,768,1,RSU response contains tau_j
cpq_inter_aka,CPQ-V2X (Inter-AKA),rsu,timestamp,4,1,RSU response contains t_j^(1)
cpq_intra_re_aka,CPQ-V2X (Intra-Re-AKA),vehicle,TID_intra,48,1,Re-authentication request contains cached TID_i^(prev)
cpq_intra_re_aka,CPQ-V2X (Intra-Re-AKA),vehicle,ring_element_Rq,384,1,Re-authentication request contains e_p^(new)
cpq_intra_re_aka,CPQ-V2X (Intra-Re-AKA),vehicle,reconciliation_hint,32,1,Re-authentication request contains w_i^(new)
cpq_intra_re_aka,CPQ-V2X (Intra-Re-AKA),vehicle,proof_vector_tau,768,1,Re-authentication request contains tau_i^(new)
cpq_intra_re_aka,CPQ-V2X (Intra-Re-AKA),vehicle,timestamp,4,1,Re-authentication request contains t_i^(new)
cpq_intra_re_aka,CPQ-V2X (Intra-Re-AKA),rsu,proof_vector_tau,768,1,Re-authentication response contains tau_j^(new)
cpq_intra_re_aka,CPQ-V2X (Intra-Re-AKA),rsu,timestamp,4,1,Re-authentication response contains t_j^(new)
cpq_inter_re_aka,CPQ-V2X (Inter-Re-AKA),vehicle,TID_inter,64,1,Re-authentication request contains cached inter-domain TID_i^(prev)
cpq_inter_re_aka,CPQ-V2X (Inter-Re-AKA),vehicle,ring_element_Rq,384,1,Re-authentication request contains e_p^(new)
cpq_inter_re_aka,CPQ-V2X (Inter-Re-AKA),vehicle,reconciliation_hint,32,1,Re-authentication request contains w_i^(new)
cpq_inter_re_aka,CPQ-V2X (Inter-Re-AKA),vehicle,proof_vector_tau,768,1,Re-authentication request contains tau_i^(new)
cpq_inter_re_aka,CPQ-V2X (Inter-Re-AKA),vehicle,timestamp,4,1,Re-authentication request contains t_i^(new)
cpq_inter_re_aka,CPQ-V2X (Inter-Re-AKA),rsu,proof_vector_tau,768,1,Re-authentication response contains tau_j^(new)
cpq_inter_re_aka,CPQ-V2X (Inter-Re-AKA),rsu,timestamp,4,1,Re-authentication response contains t_j^(new)
